prefecture,prefecture_eng,region,num_sake,num_company,abv_avg,abv_count,abv_std,acidity_avg,acidity_count,acidity_std,gravity_avg,gravity_count,gravity_std
三重県,Mie,Kansai,388,25,15.860544217687075,294,1.3799914835335596,1.5265384615384614,130,0.26865935186859213,1.943781094527363,201,3.551108789074308
京都府,Kyōto,Kansai,746,35,15.652659574468085,658,1.6400443833994445,1.4403024193548386,248,0.33174976130161365,1.6901129943502824,354,4.459345915362681
佐賀県,Saga,Kyūshū,458,24,15.979296875000001,384,1.1679051230245872,1.5984693877551022,196,0.31214346484882294,0.8640873015873016,252,4.842798691218002
兵庫県,Hyōgo,Kansai,1013,54,15.685358444714458,823,1.7697842629252372,1.4376543209876542,405,0.2354596915585703,2.0791666666666666,564,4.105230538811554
北海道,Hokkaido,Hokkaidō,220,10,15.435,200,1.2858624386205852,1.3478632478632477,117,0.16897168228285583,3.0681818181818183,132,3.599073633606975
千葉県,Chiba,Kantō,8,1,14.875,8,0.8345229603962802,1.45,8,0.0925820099772552,1.5625,8,1.498511165886232
和歌山県,Wakayama,Kansai,228,14,16.058988764044944,178,1.3311577263902303,1.5652777777777778,72,0.27789942563240955,2.111637931034483,116,2.309642902556872
大分県,Ōita,Kyūshū,209,17,15.54441489361702,188,1.3273181429526306,1.434154929577465,142,0.2972312969922535,0.4401315789473685,152,6.230657591483216
大阪府,Ōsaka,Kansai,138,10,16.28235294117647,119,1.1823308678861981,1.3617647058823528,68,0.22595033912490267,2.04020618556701,97,2.3968581776382476
奈良県,Nara,Kansai,573,30,15.902040816326531,392,1.5031070696327293,1.5857487922705313,207,0.35280057719333713,1.657283464566929,254,5.733746240543855
宮城県,Miyagi,Tōhoku,292,24,15.70875,240,1.2673426635201086,1.4412844036697248,109,0.2170769658585499,1.5635838150289016,173,4.80842319198559
宮崎県,Miyazaki,Kyūshū,32,2,16.032142857142855,28,2.504522364670014,1.3066666666666669,15,0.14375905768565214,1.411764705882353,17,5.359673771898478
山口県,Yamaguchi,Chūgoku,262,20,16.142777777777777,180,1.2644706780280826,1.6327450980392155,102,0.2669266108311277,2.5588235294117645,136,3.4566408568250035
山形県,Yamagata,Tōhoku,685,36,15.71234693877551,490,1.3451555136377187,1.3786624203821656,314,0.2626787431400522,2.0096692111959285,393,4.8667141140456
岐阜県,Gifu,Chūbu,742,36,16.14657738095238,672,1.324821573891021,1.50625,336,0.2766369192183625,1.9739884393063585,519,6.021752532254346
岡山県,Okayama,Chūgoku,619,33,15.992708333333333,528,1.709369440585796,1.5542944785276074,163,0.28105833787723294,2.0490445859872612,314,5.268389279641322
岩手県,Iwate,Tōhoku,379,20,15.81461267605634,284,1.1414637205893963,1.5802857142857143,175,0.34983153346466606,2.0445344129554655,247,4.404704673182673
島根県,Shimane,Chūgoku,427,22,16.064423076923077,312,1.6266224610276845,1.4853658536585366,123,0.20473210277442427,4.213235294117647,204,4.839021531548253
広島県,Hiroshima,Chūgoku,615,34,15.89493670886076,474,1.6271434704303738,1.4748427672955975,318,0.2568309177460902,2.094852941176471,408,5.125522491775974
徳島県,Tokushima,Shikoku,176,12,16.052866242038217,157,1.4221489927694448,1.4530769230769232,65,0.27412886498029465,4.969117647058823,68,3.841340614589634
愛媛県,Ehime,Shikoku,382,23,15.958333333333334,336,1.415096290871335,1.4184971098265897,173,0.23097127135051398,2.711698113207547,265,4.675991928412598
