,Prefecture,Prefecture.1,Capital,Capital.1,Region,Major Island,Population(2022),Area(km2)[15],Density(per km2),Distr.,Municipalities,ISO,Areacode
0,Aichi,愛知県,Nagoya,名古屋市,Chūbu,Honshū,7554000,5173.07,1458.0,7,54,JP-23,052
1,Akita,秋田県,Akita,秋田市,Tōhoku,Honshū,956000,11637.52,82.4,6,25,JP-05,018
2,Aomori,青森県,Aomori,青森市,Tōhoku,Honshū,1246000,9645.64,128.3,8,40,JP-02,017
3,Chiba,千葉県,Chiba,千葉市,Kantō,Honshū,6275000,5157.57,1218.5,6,54,JP-12,043
4,Ehime,愛媛県,Matsuyama,松山市,Shikoku,Shikoku,1327000,5676.19,235.2,7,20,JP-38,089
5,Fukui,福井県,Fukui,福井市,Chūbu,Honshū,761000,4190.52,183.0,7,17,JP-18,077
6,Fukuoka,福岡県,Fukuoka,福岡市,Kyūshū,Kyūshū,5123000,4986.51,1029.8,12,60,JP-40,092
7,Fukushima,福島県,Fukushima,福島市,Tōhoku,Honshū,1822000,13784.14,133.0,13,59,JP-07,024
8,Gifu,岐阜県,Gifu,岐阜市,Chūbu,Honshū,2023000,10621.29,186.3,9,42,JP-21,058
9,Gunma,群馬県,Maebashi,前橋市,Kantō,Honshū,1945000,6362.28,304.8,7,35,JP-10,027
10,Hiroshima,広島県,Hiroshima,広島市,Chūgoku,Honshū,2803000,8479.65,330.2,5,23,JP-34,082
11,Hokkaido,北海道,Sapporo,札幌市,Hokkaidō,Hokkaidō,5214000,83424.44,66.6,66,180,JP-01,011–016
12,Hyōgo,兵庫県,Kōbe,神戸市,Kansai,Honshū,5470000,8401.02,650.5,8,41,JP-28,073
13,Ibaraki,茨城県,Mito,水戸市,Kantō,Honshū,2873000,6097.39,470.2,7,44,JP-08,029
14,Ishikawa,石川県,Kanazawa,金沢市,Chūbu,Honshū,1126000,4186.21,270.5,5,19,JP-17,076
15,Iwate,岩手県,Morioka,盛岡市,Tōhoku,Honshū,1203000,15275.01,79.2,10,33,JP-03,019
16,Kagawa,香川県,Takamatsu,高松市,Shikoku,Shikoku,957000,1876.78,506.3,5,17,JP-37,087
17,Kagoshima,鹿児島県,Kagoshima,鹿児島市,Kyūshū,Kyūshū,1602000,9187.06,172.9,8,43,JP-46,099
18,Kanagawa,神奈川県,Yokohama,横浜市,Kantō,Honshū,9213000,2416.11,3823.2,6,33,JP-14,045
19,Kōchi,高知県,,高知市,Shikoku,Shikoku,702000,7103.63,97.3,6,34,JP-39,088
20,Kumamoto,熊本県,Kumamoto,熊本市,Kyūshū,Kyūshū,1745000,7409.46,234.6,9,45,JP-43,096
21,Kyōto,京都府,Kyōto,京都市,Kansai,Honshū,2592000,4612.2,559.0,6,26,JP-26,074
22,Mie,三重県,Tsu,津市,Kansai,Honshū,1762000,5774.49,306.6,7,29,JP-24,059
23,Miyagi,宮城県,Sendai,仙台市,Tōhoku,Honshū,2308000,7282.29,316.1,10,35,JP-04,022
24,Miyazaki,宮崎県,Miyazaki,宮崎市,Kyūshū,Kyūshū,1082000,7735.22,138.3,6,26,JP-45,098
25,Nagano,長野県,Nagano,長野市,Chūbu,Honshū,2035000,13561.56,151.0,14,77,JP-20,026
26,Nagasaki,長崎県,Nagasaki,長崎市,Kyūshū,Kyūshū,1296000,4130.98,317.7,4,21,JP-42,095
27,Nara,奈良県,Nara,奈良市,Kansai,Honshū,1315000,3690.94,358.8,7,39,JP-29,074
28,Niigata,新潟県,Niigata,新潟市,Chūbu,Honshū,2207000,12583.96,174.9,9,30,JP-15,025
29,Ōita,大分県,,大分市,Kyūshū,Kyūshū,1098000,6340.76,177.2,3,18,JP-44,097
30,Okayama,岡山県,Okayama,岡山市,Chūgoku,Honshū,1901000,7114.33,265.4,10,27,JP-33,086
31,Okinawa,沖縄県,Naha,那覇市,Kyūshū,Ryūkyū Islands,1473000,2282.59,642.9,5,41,JP-47,098
32,Ōsaka,大阪府,Ōsaka,大阪市,Kansai,Honshū,8826000,1905.32,4638.4,5,43,JP-27,06x
33,Saga,佐賀県,Saga,佐賀市,Kyūshū,Kyūshū,806000,2440.69,332.5,6,20,JP-41,095
34,Saitama,埼玉県,Saitama,さいたま市,Kantō,Honshū,7350000,3797.75,1934.0,8,63,JP-11,048
